epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3671.32,4.51683,7.14152,3.53617,0.00244,0.11842,0.00173,0.0005,3.1654,5.57336,2.44334,5.95985e-05,5.95985e-05,5.95985e-05
2,7252.59,2.58344,4.91909,2.11259,0.00912,0.6986,0.01465,0.00881,1.6309,3.97792,1.42794,0.000107458,0.000107458,0.000107458
3,10830.1,1.60088,3.70803,1.41789,0.05489,0.14811,0.04376,0.03003,1.16655,3.12558,1.12116,0.000143503,0.000143503,0.000143503
4,14387.7,1.25174,3.03264,1.18182,0.10355,0.29879,0.10142,0.07484,0.97493,2.6262,1.02134,0.000125837,0.000125837,0.000125837
5,17949.8,1.10466,2.63921,1.09566,0.14704,0.41359,0.15912,0.12246,0.86324,2.3143,0.97488,0.000108116,0.000108116,0.000108116
6,21507.1,1.02601,2.39488,1.05357,0.18979,0.46211,0.20676,0.16303,0.80531,2.12894,0.95451,9.0395e-05,9.0395e-05,9.0395e-05
7,25064.7,0.97302,2.2349,1.02769,0.22281,0.5289,0.25028,0.20027,0.78152,1.97677,0.9439,7.2674e-05,7.2674e-05,7.2674e-05
8,28647.4,0.93633,2.13382,1.00818,0.25277,0.53717,0.28595,0.23088,0.75001,1.88632,0.92883,5.4953e-05,5.4953e-05,5.4953e-05
9,32319.3,0.9083,2.05288,0.99825,0.27617,0.55475,0.31379,0.25481,0.73753,1.82216,0.92498,3.7232e-05,3.7232e-05,3.7232e-05
10,35976.1,0.88743,1.99928,0.98988,0.29071,0.56537,0.33523,0.27376,0.72241,1.77798,0.91951,1.9511e-05,1.9511e-05,1.9511e-05
